Sex,Occupation,EditorID,MinLevel,Compatible OMODs,Is NSFW?,Clothing Type
10,01001110011000011010,Vtaw_SaraBellum_Blazer,0,OMOD_VtawSara_Bellum_Blazer_Wet;OMOD_VtawSara_Bellum_Blazer_Base;OMOD_VtawSara_Bellum_Blazer_White;OMOD_VtawSara_Bellum_Blazer_Vault;OMOD_VtawSara_Bellum_Blazer_Ananas;OMOD_VtawSara_Bellum_Blazer_Stripes;OMOD_VtawSara_Bellum_Blazer_StripesB&W;OMOD_VtawSara_Bellum_Blazer_Black;OMOD_VtawSara_Bellum_Blazer_Sand;OMOD_VtawSara_Bellum_Blazer_Dragon;OMOD_VtawSara_Bellum_Blazer_Disco;OMOD_VtawSara_Bellum_Blazer_Blue;OMOD_VtawSara_Bellum_Blazer_Reptile;OMOD_VtawSara_Bellum_Blazer_Ceakers;OMOD_VtawSara_Bellum_Blazer_Lace;OMOD_VtawSara_Bellum_Blazer_OldDirt;OMOD_VtawSara_Bellum_Blazer_Grey;OMOD_VtawSara_Bellum_Blazer_Purple;OMOD_VtawSara_Bellum_Blazer_Dmg;OMOD_VtawSara_Bellum_Blazer_Latex,0,Jacket
10,01001110011000011010,Vtaw_SaraBellum_BlazerCleavage,0,OMOD_VtawSara_Bellum_Blazer_Wet;OMOD_VtawSara_Bellum_Blazer_Base;OMOD_VtawSara_Bellum_Blazer_White;OMOD_VtawSara_Bellum_Blazer_Vault;OMOD_VtawSara_Bellum_Blazer_Ananas;OMOD_VtawSara_Bellum_Blazer_Stripes;OMOD_VtawSara_Bellum_Blazer_StripesB&W;OMOD_VtawSara_Bellum_Blazer_Black;OMOD_VtawSara_Bellum_Blazer_Sand;OMOD_VtawSara_Bellum_Blazer_Dragon;OMOD_VtawSara_Bellum_Blazer_Disco;OMOD_VtawSara_Bellum_Blazer_Blue;OMOD_VtawSara_Bellum_Blazer_Reptile;OMOD_VtawSara_Bellum_Blazer_Ceakers;OMOD_VtawSara_Bellum_Blazer_Lace;OMOD_VtawSara_Bellum_Blazer_OldDirt;OMOD_VtawSara_Bellum_Blazer_Grey;OMOD_VtawSara_Bellum_Blazer_Purple;OMOD_VtawSara_Bellum_Blazer_Dmg;OMOD_VtawSara_Bellum_Blazer_Latex,0,Jacket
10,01001110011000011010,Vtaw_SaraBellum_BlazerCleavage2,0,OMOD_VtawSara_Bellum_Blazer_Wet;OMOD_VtawSara_Bellum_Blazer_Base;OMOD_VtawSara_Bellum_Blazer_White;OMOD_VtawSara_Bellum_Blazer_Vault;OMOD_VtawSara_Bellum_Blazer_Ananas;OMOD_VtawSara_Bellum_Blazer_Stripes;OMOD_VtawSara_Bellum_Blazer_StripesB&W;OMOD_VtawSara_Bellum_Blazer_Black;OMOD_VtawSara_Bellum_Blazer_Sand;OMOD_VtawSara_Bellum_Blazer_Dragon;OMOD_VtawSara_Bellum_Blazer_Disco;OMOD_VtawSara_Bellum_Blazer_Blue;OMOD_VtawSara_Bellum_Blazer_Reptile;OMOD_VtawSara_Bellum_Blazer_Ceakers;OMOD_VtawSara_Bellum_Blazer_Lace;OMOD_VtawSara_Bellum_Blazer_OldDirt;OMOD_VtawSara_Bellum_Blazer_Grey;OMOD_VtawSara_Bellum_Blazer_Purple;OMOD_VtawSara_Bellum_Blazer_Dmg;OMOD_VtawSara_Bellum_Blazer_Latex,0,Jacket
10,01001110011000011010,Vtaw_SaraBellum_BlazerOpen,0,OMOD_VtawSara_Bellum_Blazer_Wet;OMOD_VtawSara_Bellum_Blazer_Base;OMOD_VtawSara_Bellum_Blazer_White;OMOD_VtawSara_Bellum_Blazer_Vault;OMOD_VtawSara_Bellum_Blazer_Ananas;OMOD_VtawSara_Bellum_Blazer_Stripes;OMOD_VtawSara_Bellum_Blazer_StripesB&W;OMOD_VtawSara_Bellum_Blazer_Black;OMOD_VtawSara_Bellum_Blazer_Sand;OMOD_VtawSara_Bellum_Blazer_Dragon;OMOD_VtawSara_Bellum_Blazer_Disco;OMOD_VtawSara_Bellum_Blazer_Blue;OMOD_VtawSara_Bellum_Blazer_Reptile;OMOD_VtawSara_Bellum_Blazer_Ceakers;OMOD_VtawSara_Bellum_Blazer_Lace;OMOD_VtawSara_Bellum_Blazer_OldDirt;OMOD_VtawSara_Bellum_Blazer_Grey;OMOD_VtawSara_Bellum_Blazer_Purple;OMOD_VtawSara_Bellum_Blazer_Dmg;OMOD_VtawSara_Bellum_Blazer_Latex,0,Jacket
10,01001110011000011010,Vtaw_SaraBellum_BlazerOpen2,0,OMOD_VtawSara_Bellum_Blazer_Wet;OMOD_VtawSara_Bellum_Blazer_Base;OMOD_VtawSara_Bellum_Blazer_White;OMOD_VtawSara_Bellum_Blazer_Vault;OMOD_VtawSara_Bellum_Blazer_Ananas;OMOD_VtawSara_Bellum_Blazer_Stripes;OMOD_VtawSara_Bellum_Blazer_StripesB&W;OMOD_VtawSara_Bellum_Blazer_Black;OMOD_VtawSara_Bellum_Blazer_Sand;OMOD_VtawSara_Bellum_Blazer_Dragon;OMOD_VtawSara_Bellum_Blazer_Disco;OMOD_VtawSara_Bellum_Blazer_Blue;OMOD_VtawSara_Bellum_Blazer_Reptile;OMOD_VtawSara_Bellum_Blazer_Ceakers;OMOD_VtawSara_Bellum_Blazer_Lace;OMOD_VtawSara_Bellum_Blazer_OldDirt;OMOD_VtawSara_Bellum_Blazer_Grey;OMOD_VtawSara_Bellum_Blazer_Purple;OMOD_VtawSara_Bellum_Blazer_Dmg;OMOD_VtawSara_Bellum_Blazer_Latex,0,Jacket
10,01001110011000011010,Vtaw_SaraBellum_Earrings,0,,0,Earrings
10,01001110011000011010,Vtaw_SaraBellum_HighHeels,0,OMOD_VtawSara_Bellum_Heels_Base;OMOD_VtawSara_Bellum_Heels_White;OMOD_VtawSara_Bellum_Heels_Black,0,
10,01001110011000011010,Vtaw_SaraBellum_HighHeelsV2,0,OMOD_VtawSara_Bellum_Heels_Base;OMOD_VtawSara_Bellum_Heels_White;OMOD_VtawSara_Bellum_Heels_Black,0,
10,01001110011000011010,Vtaw_SaraBellum_Necklace,0,,0,
10,01001110011000011010,Vtaw_SaraBellum_Outfit,0,OMOD_VtawSara_Bellum_Outfit_White;OMOD_VtawSara_Bellum_Outfit_Wet;OMOD_VtawSara_Bellum_Outfit_Vault;OMOD_VtawSara_Bellum_Outfit_StripesBW;OMOD_VtawSara_Bellum_Outfit_Stripes;OMOD_VtawSara_Bellum_Outfit_Sand;OMOD_VtawSara_Bellum_Outfit_Replite;OMOD_VtawSara_Bellum_Outfit_Purple;OMOD_VtawSara_Bellum_Outfit_Olddirt;OMOD_VtawSara_Bellum_Outfit_Latex;OMOD_VtawSara_Bellum_Outfit_Lace;OMOD_VtawSara_Bellum_Outfit_Grey;OMOD_VtawSara_Bellum_Outfit_Dragon;OMOD_VtawSara_Bellum_Outfit_Dmg;OMOD_VtawSara_Bellum_Outfit_Disco;OMOD_VtawSara_Bellum_Outfit_Ceakers;OMOD_VtawSara_Bellum_Outfit_Blue;OMOD_VtawSara_Bellum_Outfit_Black;OMOD_VtawSara_Bellum_Outfit_Base;OMOD_VtawSara_Bellum_Outfit_Ananas,0,
