Sex,Occupation,EditorID,MinLevel,Compatible OMODs,Is NSFW?,Clothing Type
11,00000000011000010001,ClothesSuitClean_Black,0,mod_armor_Railroad_ClothingArmor5;mod_armor_Railroad_ClothingArmor4;mod_armor_Railroad_ClothingArmor3;mod_armor_Railroad_ClothingArmor2;mod_armor_Railroad_InstituteKiller;mod_armor_Railroad_ClothingArmor1,0,Suit
11,00000000011000010001,ClothesSuitClean_Blue,0,mod_armor_Railroad_ClothingArmor5;mod_armor_Railroad_ClothingArmor4;mod_armor_Railroad_ClothingArmor3;mod_armor_Railroad_ClothingArmor2;mod_armor_Railroad_InstituteKiller;mod_armor_Railroad_ClothingArmor1,0,Suit
11,00000000011000010001,ClothesSuitClean_Grey,0,mod_armor_Railroad_ClothingArmor5;mod_armor_Railroad_ClothingArmor4;mod_armor_Railroad_ClothingArmor3;mod_armor_Railroad_ClothingArmor2;mod_armor_Railroad_InstituteKiller;mod_armor_Railroad_ClothingArmor1,0,Suit
11,00000000011000010001,ClothesSuitClean_Striped,0,mod_armor_Railroad_ClothingArmor5;mod_armor_Railroad_ClothingArmor4;mod_armor_Railroad_ClothingArmor3;mod_armor_Railroad_ClothingArmor2;mod_armor_Railroad_InstituteKiller;mod_armor_Railroad_ClothingArmor1,0,Suit
11,00000000011000010001,ClothesSuitClean_Tan,0,mod_armor_Railroad_ClothingArmor5;mod_armor_Railroad_ClothingArmor4;mod_armor_Railroad_ClothingArmor3;mod_armor_Railroad_ClothingArmor2;mod_armor_Railroad_InstituteKiller;mod_armor_Railroad_ClothingArmor1,0,Suit
11,00000000011000010001,ClothesSuitDirty_Black,0,mod_armor_Railroad_ClothingArmor5;mod_armor_Railroad_ClothingArmor4;mod_armor_Railroad_ClothingArmor3;mod_armor_Railroad_ClothingArmor2;mod_armor_Railroad_InstituteKiller;mod_armor_Railroad_ClothingArmor1,0,Suit
11,00000000011000010001,ClothesSuitDirty_Blue,0,mod_armor_Railroad_ClothingArmor5;mod_armor_Railroad_ClothingArmor4;mod_armor_Railroad_ClothingArmor3;mod_armor_Railroad_ClothingArmor2;mod_armor_Railroad_InstituteKiller;mod_armor_Railroad_ClothingArmor1,0,Suit
11,00000000011000010001,ClothesSuitDirty_Grey,0,mod_armor_Railroad_ClothingArmor5;mod_armor_Railroad_ClothingArmor4;mod_armor_Railroad_ClothingArmor3;mod_armor_Railroad_ClothingArmor2;mod_armor_Railroad_InstituteKiller;mod_armor_Railroad_ClothingArmor1,0,Suit
11,00000000011000010001,ClothesSuitDirty_Striped,0,mod_armor_Railroad_ClothingArmor5;mod_armor_Railroad_ClothingArmor4;mod_armor_Railroad_ClothingArmor3;mod_armor_Railroad_ClothingArmor2;mod_armor_Railroad_InstituteKiller;mod_armor_Railroad_ClothingArmor1,0,Suit
11,00000000011000010001,ClothesSuitDirty_Tan,0,mod_armor_Railroad_ClothingArmor5;mod_armor_Railroad_ClothingArmor4;mod_armor_Railroad_ClothingArmor3;mod_armor_Railroad_ClothingArmor2;mod_armor_Railroad_InstituteKiller;mod_armor_Railroad_ClothingArmor1,0,Suit
