Sex,Occupation,EditorID,MinLevel,Compatible OMODs,Is NSFW?
10,10000010000010001000,Vtaw_raiderbelt,0,,0
10,10000010000010001000,Vtaw_raiderbikinibottom,0,OMOD_VtawRaiderBikiniBottomlace;OMOD_VtawRaiderBikiniBottomlace2;OMOD_VtawRaiderBikiniBottomhex;OMOD_VtawRaiderBikiniBottomchain;OMOD_VtawRaiderBikiniBottomBase;OMOD_VtawRaiderBikiniBottomBlackleather;OMOD_VtawRaiderBikiniBottomBlue;OMOD_VtawRaiderBikiniBottomBrownleather;OMOD_VtawRaiderBikiniBottomCamo;OMOD_VtawRaiderBikiniBottomDarkleather;OMOD_VtawRaiderBikiniBottomFloral;OMOD_VtawRaiderBikiniBottomGray;OMOD_VtawRaiderBikiniBottomGreen;OMOD_VtawRaiderBikiniBottomLine;OMOD_VtawRaiderBikiniBottomOrange;OMOD_VtawRaiderBikiniBottomPink;OMOD_VtawRaiderBikiniBottomSquare;OMOD_VtawRaiderBikiniBottomYellow,0
10,10000010000010001000,Vtaw_raiderbikiniTop,0,OMOD_VtawRaiderBikinilace;OMOD_VtawRaiderBikinilace2;OMOD_VtawRaiderBikinihex;OMOD_VtawRaiderBikinichain;OMOD_VtawRaiderBikiniBase;OMOD_VtawRaiderBikiniBlackleather;OMOD_VtawRaiderBikiniBlue;OMOD_VtawRaiderBikiniBrownleather;OMOD_VtawRaiderBikiniCamo;OMOD_VtawRaiderBikiniDarkleather;OMOD_VtawRaiderBikiniFloral;OMOD_VtawRaiderBikiniGray;OMOD_VtawRaiderBikiniGreen;OMOD_VtawRaiderBikiniLine;OMOD_VtawRaiderBikiniOrange;OMOD_VtawRaiderBikiniPink;OMOD_VtawRaiderBikiniSquare;OMOD_VtawRaiderBikiniYellow,0
10,10000010000010001000,Vtaw_raiderboots,0,OMOD_VtawRaiderBootsBase;OMOD_VtawRaiderBootsClean,0
10,10000010000010001000,Vtaw_raiderbootsfull,0,OMOD_VtawRaiderBootsBase;OMOD_VtawRaiderBootsClean,0
10,10000010000010001000,Vtaw_raiderbootsyoga,0,,0
10,10000010000010001000,Vtaw_raiderbootsyogafull,0,,0
10,10000010000010001000,Vtaw_raiderchoker,0,,0
10,10000010000010001000,Vtaw_raidergloveleft,0,OMOD_VtawRaiderGloveBase;OMOD_VtawRaiderGloveDark,0
10,10000010000010001000,Vtaw_raidergloveleftM,0,OMOD_VtawRaiderGloveBase;OMOD_VtawRaiderGloveDark,0
10,10000010000010001000,Vtaw_raidergloveright,0,OMOD_VtawRaiderGloveBase;OMOD_VtawRaiderGloveDark,0
10,10000010000010001000,Vtaw_raidergloverightM,0,OMOD_VtawRaiderGloveBase;OMOD_VtawRaiderGloveDark,0
10,10000010000010001000,Vtaw_raiderharnbag,0,,0
10,10000010000010001000,Vtaw_raiderharnbott,0,,0
10,10000010000010001000,Vtaw_raiderharntop,0,,0
10,10000010000010001000,Vtaw_raiderharntopv2,0,,0
10,10000010000010001000,Vtaw_raiderharntopv3,0,,0
