Sex , Occupation           , Form ID; Form ID; Form ID
10  , 11111111100011111001 , 3300174F
10  , 11111111111111111111 , 33001EDC
10  , 11111111111111111111 , 33001EDF
10  , 11111111111111111111 , 33002E44
10  , 11111111111111111111 , 33002E8C
10  , 11111111111111111111 , 33002E8F
10  , 11111111101101001000 , 330054EF
10  , 11111111101101001000 , 330054F2
10  , 11111111111001101010 , 33009A1C
10  , 11111111100001001010 , 3300C7EE
10  , 11111111011001001010 , 3300EE51
10  , 11111111111101001000 , 330115CA
10  , 11111111111101001000 , 330115D0
10  , 11111111111101001010 , 330115D3
10  , 11111111111101001010 , 330115D9
10  , 11111111111101001010 , 33011D7E
10  , 11111111111101001010 , 33011D81
10  , 11111111111101001010 , 33011D87
10  , 11111111111101001010 , 33011D8A
