Sex , Occupation           , Form ID; Form ID; Form ID
10  , 10000010001011101011 , FE0AC801
10  , 10000010001011101011 , FE0AC8FB
10  , 10000010001011101011 , FE0AC879
10  , 10000010001011101011 , FE0AC8FC
10  , 10000010001011101011 , FE0AC87A
10  , 10000010001011101011 , FE0AC8FD
10  , 10000010001011101011 , FE0AC87B
10  , 10000010001011101011 , FE0AC8FE
10  , 10000010001011101011 , FE0AC91D
10  , 10000010001011101011 , FE0AC91B
10  , 10000010001011101011 , FE0AC87C
10  , 10000010001011101011 , FE0AC8FF
10  , 10000010001011101011 , FE0AC87D
10  , 10000010001011101011 , FE0AC900
10  , 10000010001011101011 , FE0AC87E
10  , 10000010001011101011 , FE0AC901
10  , 10000010001011101011 , FE0AC87F
10  , 10000010001011101011 , FE0AC902
10  , 10000010001011101011 , FE0AC880
10  , 10000010001011101011 , FE0AC903
10  , 10000010001011101011 , FE0AC881
10  , 10000010001011101011 , FE0AC904
10  , 10000010001011101011 , FE0AC882
10  , 10000010001011101011 , FE0AC905
10  , 10000010001011101011 , FE0AC883
10  , 10000010001011101011 , FE0AC906
10  , 10000010001011101011 , FE0AC91E
10  , 10000010001011101011 , FE0AC91C
10  , 10000010001011101011 , FE0AC884
10  , 10000010001011101011 , FE0AC907
10  , 10000010001011101011 , FE0AC885
10  , 10000010001011101011 , FE0AC908
10  , 10000010001011101011 , FE0AC886
10  , 10000010001011101011 , FE0AC909
10  , 10000010001011101011 , FE0AC887
10  , 10000010001011101011 , FE0AC90A
