Sex , Occupation           , Form ID; Form ID; Form ID
10  , 11111111111111111111 , FE000801
10  , 11111111111111111111 , FE000804
10  , 11111111111111111111 , FE000807
10  , 11111111111111111111 , FE00080A
10  , 11111111111111111111 , FE00080D
10  , 11111111111111111111 , FE000810
10  , 11111111111111111111 , FE000813
10  , 11111111111111111111 , FE000816
10  , 11111111111111111111 , FE00081F
10  , 11111111111111111111 , FE000820
10  , 11111111111111111111 , FE000821
10  , 11111111111111111111 , FE000822
10  , 11111111111111111111 , FE000823
10  , 11111111111111111111 , FE000824
